Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,1,,25,FrRnd,25,Padres via Royals,Y,*Robbie Beckett (minors),LHP,-0.3,7,0,0,,,7,0,0,11.57,2.43,0,HS,McCallum HS (Austin TX)
1990,1,,26,FrRnd,26,Athletics,Y,Don Peters (minors),RHP,,,,,,,,,,,,,4Yr,University of St. Francis (Joliet IL)
1990,1s,,27,FrRnd,27,Pirates,Y,*Mike Zimmerman (minors),RHP,,,,,,,,,,,,,4Yr,University of South Alabama (Mobile AL)
1990,1s,,28,FrRnd,28,Expos,Y,*Gabe White (minors),LHP,6.5,472,38,1,0.105,0.312,472,34,26,4.51,1.22,17,HS,Sebring HS (Sebring FL)
1990,1s,,31,FrRnd,31,Astros,Y,*Brian Williams (minors),RHP,-4,260,85,0,0.176,0.398,256,26,38,5.37,1.66,6,4Yr,University of South Carolina (Columbia SC)
1990,1s,,32,FrRnd,32,Padres,Y,*Scott Sanders (minors),RHP,4.7,236,129,0,0.194,0.464,235,34,45,4.86,1.39,5,4Yr,Nicholls State University (Thibodaux LA)
1990,1s,,34,FrRnd,34,Athletics,Y,*Dave Zancanaro (minors),LHP,,,,,,,,,,,,,4Yr,University of California Los Angeles (Los Angeles CA)
1990,1s,,35,FrRnd,35,Expos,Y,*Stan Spencer (minors),RHP,-0.5,24,31,0,0.161,0.413,23,3,9,5.54,1.37,0,4Yr,Stanford University (Palo Alto CA)
1990,1s,,36,FrRnd,36,Athletics,Y,*Kirk Dressendorfer (minors),RHP,-0.8,7,0,0,,,7,3,3,5.45,1.56,0,4Yr,University of Texas at Austin (Austin TX)
1990,1s,,37,FrRnd,37,Expos,Y,*Ben VanRyn (minors),LHP,-0.1,26,1,0,0,0,26,0,2,5.74,2.04,0,HS,East Noble HS (Kendaliville IN)
1990,2,,41,FrRnd,1,Red Sox via Braves,Y,*Frankie Rodriguez (minors),RHP,1.2,186,6,0,0.167,0.333,184,29,39,5.53,1.56,5,HS,Eastern District HS (Brooklyn NY)
1990,2,,42,FrRnd,2,Athletics via Tigers,Y,*Curtis Shaw (minors),LHP,,,,,,,,,,,,,4Yr,University of Kansas (Lawrence KS)
1990,2,,43,FrRnd,3,Phillies,N,Tim Schweitzer (minors),LHP,,,,,,,,,,,,,HS,Reedsport HS (Reedsport OR)
1990,2,,44,FrRnd,4,White Sox,Y,Bob Wickman (minors),RHP,17.2,835,2,0,0,0,835,63,61,3.57,1.4,267,4Yr,University of Wisconsin at Whitewater (Whitewater WI)
1990,2,,50,FrRnd,10,Expos via Yankees,Y,*Tavo Alvarez (minors),RHP,-0.3,19,16,0,0.125,0.25,19,3,6,5.4,1.56,0,HS,Tucson HS (Tucson AZ)
1990,2,,51,FrRnd,11,Expos,Y,Chris Haney (minors),LHP,3.2,197,36,0,0.111,0.222,196,38,52,5.07,1.47,1,4Yr,University of North Carolina at Charlotte (Charlotte NC)
1990,2,,56,FrRnd,16,Rangers,N,Mike Schiefelbein (minors),RHP,,,,,,,,,,,,,HS,Chatfield HS (Littleton CO)
1990,2,,58,FrRnd,18,Twins via Red Sox,Y,*Ron Caridad (minors),RHP,,,,,,,,,,,,,HS,Westminster Christian (Miami FL)
1990,2,,60,FrRnd,20,Orioles,Y,Erik Schullstrom (minors),RHP,-0.2,46,0,0,,,46,0,0,6,1.77,1,4Yr,California State University Fresno (Fresno CA)
