Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,14,,383,FrRnd,13,Twins,N,Jeff Granger (minors),LHP,-0.9,27,0,0,,,27,0,1,9.09,2.31,0,HS,Orangefield HS (Orangefield TX)
1990,14,,386,FrRnd,16,Astros,N,Jamie Evans (minors),RHP,,,,,,,,,,,,,JC,Allan Hancock College (Santa Maria CA)
1990,14,,387,FrRnd,17,Rangers,Y,Brian Mercado (minors),RHP,,,,,,,,,,,,,4Yr,Eastern Connecticut State University (Willimantic CT)
1990,14,,388,FrRnd,18,Mets,Y,Todd Douma (minors),LHP,,,,,,,,,,,,,4Yr,Arizona State University (Tempe AZ)
1990,14,,390,FrRnd,20,Padres,Y,Scott Fredrickson (minors),RHP,-0.6,25,3,0,0,0,25,0,1,6.21,1.72,0,4Yr,University of Texas at Austin (Austin TX)
1990,14,,392,FrRnd,22,Giants,N,Stacy Hollins (minors),RHP,,,,,,,,,,,,,HS,Willis HS (Willis TX)
1990,14,,393,FrRnd,23,Blue Jays,Y,Matthew Watson (minors),RHP,,,,,,,,,,,,,4Yr,California State University Fullerton (Fullerton CA)
1990,14,,394,FrRnd,24,Cubs,Y,Scott Gardner (minors),RHP,,,,,,,,,,,,,JC,Imperial Valley College (Imperial CA)
1990,14,,396,FrRnd,26,Royals,Y,Damon Pollard (minors),RHP,,,,,,,,,,,,,4Yr,University of Southern Mississippi (Hattiesburg MS)
1990,14,,397,FrRnd,27,Athletics,Y,Jim Dillon (minors),RHP,,,,,,,,,,,,,4Yr,University of Maine at Orono (Orono ME)
1990,15,,400,FrRnd,3,Tigers,N,Toby McFarland (minors),LHP,,,,,,,,,,,,,HS,Petoskey HS (Petoskey MI)
1990,15,,401,FrRnd,4,Phillies,Y,Scott Coleman (minors),LHP,,,,,,,,,,,,,HS,Orange Glen HS (Escondido CA)
1990,15,,403,FrRnd,6,Pirates,Y,Rick White (minors),RHP,2.5,615,43,0,0.093,0.23,613,42,54,4.45,1.42,16,HS,Eastern HS (Detroit MI)
1990,15,,404,FrRnd,7,Mariners,Y,Scott Schanz (minors),RHP,,,,,,,,,,,,,4Yr,University of California Los Angeles (Los Angeles CA)
1990,15,,406,FrRnd,9,Indians,Y,Sam Baker (minors),RHP,,,,,,,,,,,,,JC,Hill College (Hillsboro TX)
1990,15,,408,FrRnd,11,Yankees,Y,Sean Smith (minors),RHP,,,,,,,,,,,,,HS,Seekonk HS (Seekonk MA)
1990,15,,410,FrRnd,13,Twins,Y,Jon Henry (minors),RHP,,,,,,,,,,,,,4Yr,University of Central Florida (Orlando FL)
1990,15,,415,FrRnd,18,Mets,N,Steve Soderstrom (minors),RHP,-0.2,3,5,0,0,0,3,2,0,5.27,1.61,0,HS,Turlock HS (Turlock CA)
1990,15,,418,FrRnd,21,Orioles,N,Duane Page (minors),RHP,,,,,,,,,,,,,HS,Ocean View HS (Huntington Beach CA)
1990,15,,419,FrRnd,22,Giants,Y,Mark Yockey (minors),LHP,,,,,,,,,,,,,4Yr,Lewis-Clark State College (Lewiston ID)
1990,15,,420,FrRnd,23,Blue Jays,Y,Travis Burley (minors),RHP,,,,,,,,,,,,,HS,Miramar HS (Miramar FL)
1990,15,,421,FrRnd,24,Cubs,Y,Joe Porcelli (minors),LHP,,,,,,,,,,,,,4Yr,Iona College (New Rochelle NY)
1990,15,,423,FrRnd,26,Royals,Y,Thomas Lee (minors),RHP,,,,,,,,,,,,,4Yr,University of Nebraska at Lincoln (Lincoln NE)
1990,16,,425,FrRnd,1,Miami Miracle,Y,Mike Ericson (minors),P,,,,,,,,,,,,,4Yr,Michigan State University (East Lansing MI)
1990,16,,427,FrRnd,3,Tigers,Y,Brian Nelson (minors),RHP,,,,,,,,,,,,,4Yr,George Mason University (Fairfax VA)
1990,16,,429,FrRnd,5,White Sox,Y,Jeff Dinuzzo (minors),RHP,,,,,,,,,,,,,4Yr,Seton Hall University (South Orange NJ)
1990,16,,430,FrRnd,6,Pirates,Y,Lynn Carlson (minors),RHP,,,,,,,,,,,,,4Yr,Greenville College (Greenville IL)
1990,16,,431,FrRnd,7,Mariners,Y,Jim Converse (minors),RHP,-1.2,35,0,0,,,35,2,11,7.21,2.09,1,HS,Casa Roble HS (Orangevale CA)
1990,16,,438,FrRnd,14,Cardinals,N,Pat Treend (minors),RHP,,,,,,,,,,,,,HS,El Camino Real HS (Woodland Hills CA)
1990,16,,442,FrRnd,18,Mets,Y,Eric Corbell (minors),RHP,,,,,,,,,,,,,4Yr,University of the Incarnate Word (San Antonio TX)
1990,16,,443,FrRnd,19,Red Sox,Y,Erik Plantenberg (minors),LHP,0.4,61,0,0,,,61,0,0,4.46,1.68,1,4Yr,San Diego State University (San Diego CA)
1990,16,,451,FrRnd,27,Athletics,Y,Doug Johns (minors),LHP,3.1,116,3,0,0.667,1.333,114,20,22,5.13,1.48,2,4Yr,University of Virginia (Charlottesville VA)
1990,17,,453,FrRnd,2,Braves,Y,Jerry Koller (minors),RHP,,,,,,,,,,,,,HS,Martinsville HS (Martinsville IN)
1990,17,,454,FrRnd,3,Tigers,Y,Tom Drell (minors),RHP,,,,,,,,,,,,,4Yr,Florida Southern College (Lakeland FL)
1990,17,,457,FrRnd,6,Pirates,Y,John Douris (minors),RHP,,,,,,,,,,,,,JC,Orange Coast College (Costa Mesa CA)
1990,17,,458,FrRnd,7,Mariners,Y,Lee Russell (minors),RHP,,,,,,,,,,,,,4Yr,Campbell University (Buies Creek NC)
1990,17,,460,FrRnd,9,Indians,Y,Dave Mlicki (minors),RHP,6.3,263,208,0,0.125,0.343,262,66,80,4.72,1.47,1,4Yr,Oklahoma State University (Stillwater OK)
1990,17,,462,FrRnd,11,Yankees,Y,Brian Faw (minors),RHP,,,,,,,,,,,,,4Yr,Clemson University (Clemson SC)
1990,17,,464,FrRnd,13,Twins,N,Fred Smith (minors),RHP,,,,,,,,,,,,,HS,Franklin D. Roosevelt HS (Brooklyn NY)
1990,17,,465,FrRnd,14,Cardinals,N,Ricky Kimball (minors),RHP,,,,,,,,,,,,,4Yr,Florida State University (Tallahassee FL)
1990,17,,466,FrRnd,15,Brewers,Y,Mark Stephens (minors),LHP,,,,,,,,,,,,,JC,Central Arizona College (Coolidge AZ)
1990,17,,467,FrRnd,16,Astros,Y,Jon Quaid (minors),LHP,,,,,,,,,,,,,JC,Chabot College (Hayward CA)
1990,17,,474,FrRnd,23,Blue Jays,Y,Allen Rhea (minors),LHP,,,,,,,,,,,,,4Yr,Milligan College (Milligan College TN)
1990,17,,476,FrRnd,25,Angels,Y,Todd McCray (minors),RHP,,,,,,,,,,,,,4Yr,University of Florida (Gainesville FL)
1990,17,,478,FrRnd,27,Athletics,N,Scott Dodd (minors),LHP,,,,,,,,,,,,,JC,Glendale Community College (Glendale CA)
1990,18,,479,FrRnd,1,Miami Miracle,Y,Charlie Rogers (minors),P,,,,,,,,,,,,,4Yr,University of North Alabama (Florence AL)
1990,18,,480,FrRnd,2,Braves,Y,Mike Potts (minors),LHP,-0.6,24,0,0,,,24,1,2,7.15,1.94,1,4Yr,Gordon College (Barnesville GA)
1990,18,,485,FrRnd,7,Mariners,Y,Dave Adam (minors),RHP,,,,,,,,,,,,,4Yr,Central Connecticut State University (New Britain CT)
1990,18,,487,FrRnd,9,Indians,Y,Steve Gajkowski (minors),RHP,-0.2,9,0,0,,,9,0,0,7.27,2.08,0,JC,Bellevue Community College (Bellevue WA)
1990,18,,491,FrRnd,13,Twins,N,Scott Weiss (minors),RHP,,,,,,,,,,,,,4Yr,Stanford University (Palo Alto CA)
1990,18,,492,FrRnd,14,Cardinals,Y,David Norris (minors),LHP,,,,,,,,,,,,,4Yr,St. Mary's College of California (Moraga CA)
1990,18,,495,FrRnd,17,Rangers,Y,Rodney Busha (minors),RHP,,,,,,,,,,,,,4Yr,University of North Alabama (Florence AL)
1990,18,,496,FrRnd,18,Mets,N,Trey Cheek (minors),RHP,,,,,,,,,,,,,HS,Broughton HS (Raleigh NC)
1990,18,,497,FrRnd,19,Red Sox,N,Rob Henkel (minors),LHP,,,,,,,,,,,,,JC,San Jacinto College (Pasadena TX)
1990,18,,498,FrRnd,20,Padres,N,Todd Evers (minors),RHP,,,,,,,,,,,,,4Yr,University of Wisconsin at Madison (Madison WI)
1990,18,,499,FrRnd,21,Orioles,Y,Brett Benge (minors),RHP,,,,,,,,,,,,,JC,Rend Lake College (Ina IL)
1990,19,,506,FrRnd,1,Miami Miracle,Y,Billy Walker (minors),P,,,,,,,,,,,,,4Yr,Gonzaga University (Spokane WA)
1990,19,,508,FrRnd,3,Tigers,Y,Mike Guilfoyle (minors),LHP,,,,,,,,,,,,,4Yr,St. Peter's College (Jersey City NJ)
1990,19,,512,FrRnd,7,Mariners,N,Albie Lopez (minors),RHP,3.7,297,46,0,0.043,0.146,297,47,58,4.94,1.52,4,JC,Mesa Community College (Mesa AZ)
1990,19,,513,FrRnd,8,Reds,Y,Kevin Berry (minors),RHP,,,,,,,,,,,,,4Yr,New Mexico State University (Las Cruces NM)
1990,19,,516,FrRnd,11,Yankees,Y,Brent Gilbert (minors),RHP,,,,,,,,,,,,,4Yr,Texas A&amp;M University (College Station TX)
1990,19,,519,FrRnd,14,Cardinals,Y,Jim Marchesi (minors),RHP,,,,,,,,,,,,,HS,El Capitan HS (Lakeside CA)
1990,19,,520,FrRnd,15,Brewers,Y,Pat Miller (minors),RHP,,,,,,,,,,,,,4Yr,University of Detroit Mercy (Detroit MI)
1990,19,,521,FrRnd,16,Astros,Y,Derrick Bottoms (minors),LHP,,,,,,,,,,,,,HS,Overton HS (Nashville TN)
1990,19,,523,FrRnd,18,Mets,N,Tony Phillips (minors),RHP,,,,,,,,,,,,,4Yr,University of Southern Mississippi (Hattiesburg MS)
1990,19,,524,FrRnd,19,Red Sox,Y,Brian Young (minors),RHP,,,,,,,,,,,,,4Yr,Ohio University (Athens OH)
1990,19,,527,FrRnd,22,Giants,N,John Davis (minors),RHP,,,,,,,,,,,,,4Yr,Georgia Institute of Technology (Atlanta GA)
1990,19,,529,FrRnd,24,Cubs,Y,Ken Krahenbuhl (minors),RHP,,,,,,,,,,,,,HS,San Bernardino HS (San Bernardino CA)
1990,20,,536,FrRnd,4,White Sox,Y,Jonathan Jenkins (minors),RHP,,,,,,,,,,,,,4Yr,East Carolina University (Greenville NC)
1990,20,,538,FrRnd,6,Mariners,Y,J.D. Neugent (minors),LHP,,,,,,,,,,,,,HS,Mustang HS (Mustang OK)
1990,20,,539,FrRnd,7,Reds,N,Marc Valdes (minors),RHP,-1,144,43,0,0.093,0.245,144,12,15,4.95,1.59,4,HS,Jesuit HS (Tampa FL)
1990,20,,546,FrRnd,14,Brewers,Y,Dave White (minors),RHP,,,,,,,,,,,,,4Yr,University of South Florida (Tampa FL)
1990,20,,547,FrRnd,15,Astros,Y,Luis Martinez (minors),RHP,,,,,,,,,,,,,4Yr,Huston-Tillotson College (Austin TX)
1990,20,,548,FrRnd,16,Rangers,N,Tim Kubinski (minors),LHP,0,25,0,0,,,25,0,0,5.76,1.48,0,HS,San Luis Obispo HS (San Luis Obispo CA)
1990,20,,557,FrRnd,25,Royals,Y,Doug Peters (minors),RHP,,,,,,,,,,,,,4Yr,Indiana University-Bloomington (Bloomington IN)
1990,21,,559,FrRnd,1,Braves,N,Richard King (minors),RHP,,,,,,,,,,,,,4Yr,Gordon College (Barnesville GA)
1990,21,,563,FrRnd,5,Pirates,Y,Shelton Simpson (minors),RHP,,,,,,,,,,,,,4Yr,Eastern Kentucky University (Richmond KY)
1990,21,,567,FrRnd,9,Dodgers,N,Wayne Lindemann (minors),LHP,,,,,,,,,,,,,JC,Lower Columbia College (Longview WA)
1990,21,,568,FrRnd,10,Yankees,Y,Keith Seiler (minors),LHP,,,,,,,,,,,,,4Yr,University of Virginia (Charlottesville VA)
1990,21,,569,FrRnd,11,Expos,N,Scott Brocail (minors),RHP,,,,,,,,,,,,,HS,Lamar HS (Lamar CO)
1990,21,,570,FrRnd,12,Twins,Y,Eddie Guardado (minors),LHP,13.7,909,1,0,0,0,908,46,61,4.31,1.31,187,JC,San Joaquin Delta College (Stockton CA)
1990,21,,571,FrRnd,13,Cardinals,Y,Troy Salvior (minors),RHP,,,,,,,,,,,,,4Yr,Hillsdale College (Hillsdale MI)
1990,21,,574,FrRnd,16,Rangers,N,Jarod Juelsgaard (minors),RHP,,,,,,,,,,,,,JC,Waldorf College (Forest City IA)
1990,21,,576,FrRnd,18,Red Sox,N,Chad Trahan (minors),RHP,,,,,,,,,,,,,JC,Seminole State College (Seminole OK)
1990,21,,577,FrRnd,19,Padres,N,Scott Emerson (minors),LHP,,,,,,,,,,,,,HS,Shadow Mountain HS (Phoenix AZ)
1990,21,,579,FrRnd,21,Giants,Y,Dan Flanagan (minors),RHP,,,,,,,,,,,,,4Yr,Virginia Commonwealth University (Richmond VA)
1990,21,,580,FrRnd,22,Blue Jays,Y,Raphael Garcia (minors),RHP,,,,,,,,,,,,,4Yr,Southern California Christian College (Costa Mesa CA)
1990,21,,582,FrRnd,24,Angels,Y,Ken Edenfield (minors),RHP,0,9,0,0,,,9,0,0,5.82,1.88,0,4Yr,Western Kentucky University (Bowling Green KY)
1990,21,,584,FrRnd,26,Athletics,Y,Richard Miller (minors),LHP,,,,,,,,,,,,,4Yr,Grand Canyon University (Phoenix AZ)
1990,22,,585,FrRnd,1,Braves,Y,Stewart Ford (minors),LHP,,,,,,,,,,,,,JC,Ranger College (Ranger TX)
1990,22,,587,FrRnd,3,Phillies,N,Robert Lamb (minors),RHP,,,,,,,,,,,,,HS,Central HS (Tuscaloosa AL)
1990,22,,588,FrRnd,4,White Sox,Y,Ted Marshall (minors),LHP,,,,,,,,,,,,,HS,Sweet Water HS (Sweet Water AL)
1990,22,,590,FrRnd,6,Mariners,N,Pat Bojcun (minors),RHP,,,,,,,,,,,,,4Yr,Central Michigan University (Mount Pleasant MI)
1990,22,,591,FrRnd,7,Reds,N,Martis Aviles (minors),LHP,,,,,,,,,,,,,,
1990,22,,593,FrRnd,9,Dodgers,Y,Mike Racobaldo (minors),RHP,,,,,,,,,,,,,HS,Pennsauken HS (Pennsauken NJ)
1990,22,,594,FrRnd,10,Yankees,Y,Andy Pettitte (minors),LHP,60.8,533,196,1,0.138,0.346,531,256,153,3.85,1.35,0,HS,Deer Park HS (Deer Park TX)
1990,22,,599,FrRnd,15,Astros,Y,Dennis Reed (minors),RHP,,,,,,,,,,,,,4Yr,California Polytechnic State University San Luis Obispo (San Luis Obispo CA)
1990,22,,601,FrRnd,17,Mets,Y,Brad Schorr (minors),RHP,,,,,,,,,,,,,HS,Columbus HS (Columbus GA)
1990,22,,602,FrRnd,18,Red Sox,Y,Dave Klvac (minors),LHP,,,,,,,,,,,,,JC,San Jacinto College (Pasadena TX)
1990,22,,603,FrRnd,19,Padres,N,Jon Ratliff (minors),RHP,0,1,0,0,,,1,0,0,0,0,0,HS,Liverpool Central HS (Liverpool NY)
1990,22,,604,FrRnd,20,Orioles,Y,Scott McClain (minors),RHP,-0.5,44,78,2,0.192,0.579,,,,,,,HS,Atascadero HS (Atascadero CA)
1990,22,,605,FrRnd,21,Giants,N,Craig Bauer (minors),RHP,,,,,,,,,,,,,4Yr,Grand Canyon University (Phoenix AZ)
1990,22,,606,FrRnd,22,Blue Jays,Y,Sam Mandia (minors),RHP,,,,,,,,,,,,,4Yr,Seton Hall University (South Orange NJ)
1990,22,,609,FrRnd,25,Royals,Y,Tony Long (minors),LHP,,,,,,,,,,,,,JC,Montgomery College Rockville Campus (Rockville MD)
1990,23,,611,FrRnd,1,Braves,N,Matt Wagner (minors),RHP,-0.6,15,0,0,,,15,3,5,6.86,1.61,0,HS,Cedar Falls HS (Cedar Falls IA)
1990,23,,614,FrRnd,4,White Sox,Y,Todd Altaffer (minors),LHP,,,,,,,,,,,,,4Yr,Jacksonville State University (Jacksonville AL)
1990,23,,621,FrRnd,11,Expos,Y,Steve Renko (minors),RHP,,,,,,,,,,,,,4Yr,University of Kansas (Lawrence KS)
1990,23,,622,FrRnd,12,Twins,Y,Dave Schwartz (minors),RHP,,,,,,,,,,,,,4Yr,University of California Berkeley (Berkeley CA)
1990,23,,624,FrRnd,14,Brewers,Y,Don Pruitt (minors),RHP,,,,,,,,,,,,,4Yr,University of Arizona (Tucson AZ)
1990,23,,627,FrRnd,17,Mets,Y,Mike Sciortino (minors),LHP,,,,,,,,,,,,,4Yr,Central Connecticut State University (New Britain CT)
1990,23,,628,FrRnd,18,Red Sox,Y,Ryan Maloney (minors),LHP,,,,,,,,,,,,,HS,Lancaster HS (Lancaster OH)
1990,23,,631,FrRnd,21,Giants,Y,Jim Huslig (minors),RHP,,,,,,,,,,,,,4Yr,University of Oklahoma (Norman OK)
1990,23,,632,FrRnd,22,Blue Jays,Y,Jason Reese (minors),RHP,,,,,,,,,,,,,4Yr,University of California Riverside (Riverside CA)
1990,23,,636,FrRnd,26,Athletics,Y,Tanyon Sturtze (minors),RHP,4.6,272,16,0,0.063,0.125,272,40,44,5.19,1.53,3,JC,Quinsigamond Community College (Worcester MA)
1990,24,,637,FrRnd,1,Braves,Y,Jason Kempfer (minors),RHP,,,,,,,,,,,,,HS,Sparta HS (Sparta IL)
1990,24,,640,FrRnd,4,White Sox,N,Mark Gilreath (minors),RHP,,,,,,,,,,,,,JC,Eastern Florida State College (Cocoa FL)
1990,24,,643,FrRnd,7,Reds,N,Ryan Towns (minors),RHP,,,,,,,,,,,,,HS,Gonzales HS (Gonzales TX)
1990,24,,645,FrRnd,9,Dodgers,Y,Mike Mimbs (minors),LHP,-0.3,73,70,0,0.129,0.271,73,12,19,5.03,1.58,1,4Yr,Mercer University (Macon GA)
1990,24,,649,FrRnd,13,Cardinals,Y,Duff Brumley (minors),RHP,-0.2,2,0,0,,,2,0,0,16.2,3.3,0,JC,Cleveland State Community College (Cleveland TN)
1990,24,,650,FrRnd,14,Brewers,Y,Orlando Griego (minors),RHP,,,,,,,,,,,,,4Yr,New Mexico State University (Las Cruces NM)
1990,24,,652,FrRnd,16,Rangers,N,Shawn Kennedy (minors),RHP,,,,,,,,,,,,,HS,El Monte HS (El Monte CA)
1990,24,,653,FrRnd,17,Mets,Y,Steve Seymour (minors),RHP,,,,,,,,,,,,,JC,Ocean County College (Toms River NJ)
1990,24,,654,FrRnd,18,Red Sox,Y,Tim Smith (minors),RHP,,,,,,,,,,,,,4Yr,Boston College (Chestnut Hill MA)
1990,24,,662,FrRnd,26,Athletics,N,Dwayne Fowler (minors),RHP,,,,,,,,,,,,,4Yr,California State University Long Beach (Long Beach CA)
1990,25,,665,FrRnd,3,Phillies,Y,Steven McGovern (minors),RHP,,,,,,,,,,,,,4Yr,California State University Los Angeles (Los Angeles CA)
1990,25,,667,FrRnd,5,Pirates,Y,Troy Hooper (minors),RHP,,,,,,,,,,,,,4Yr,Shorter College (Rome GA)
1990,25,,668,FrRnd,6,Mariners,Y,Doug Fitzer (minors),LHP,,,,,,,,,,,,,4Yr,University of Detroit Mercy (Detroit MI)
1990,25,,669,FrRnd,7,Reds,Y,Greg Margheim (minors),LHP,,,,,,,,,,,,,4Yr,Virginia Polytechnic Institute and State University (Blacksburg VA)
1990,25,,671,FrRnd,9,Dodgers,Y,Mark Mimbs (minors),LHP,,,,,,,,,,,,,4Yr,Mercer University (Macon GA)
1990,25,,672,FrRnd,10,Yankees,Y,Matt Dunbar (minors),LHP,-0.5,8,0,0,,,8,0,1,11.57,3.29,0,4Yr,Florida State University (Tallahassee FL)
1990,25,,678,FrRnd,16,Rangers,Y,Matt Whiteside (minors),RHP,0.6,286,2,0,0,0,286,18,15,5.23,1.51,9,4Yr,Arkansas State University (Jonesboro AR)
1990,25,,679,FrRnd,17,Mets,Y,Steve Thomas (minors),RHP,,,,,,,,,,,,,4Yr,University of Alabama (Tuscaloosa AL)
1990,25,,681,FrRnd,19,Padres,Y,Lance Painter (minors),LHP,2,315,65,0,0.154,0.389,314,25,18,5.24,1.5,3,4Yr,University of Wisconsin at Madison (Madison WI)
1990,25,,682,FrRnd,20,Orioles,Y,Mike Hebb (minors),RHP,,,,,,,,,,,,,JC,Anne Arundel Community College (Arnold MD)
1990,25,,688,FrRnd,26,Athletics,Y,Dave Tripp (minors),RHP,,,,,,,,,,,,,4Yr,Clemson University (Clemson SC)
1990,26,,689,FrRnd,1,Braves,Y,Mike Place (minors),RHP,,,,,,,,,,,,,JC,St. Petersburg College (St. Petersburg FL)
1990,26,,691,FrRnd,3,Phillies,N,Omar Washington (minors),RHP,,,,,,,,,,,,,HS,W.W. Samuel HS (Dallas TX)
1990,26,,694,FrRnd,6,Mariners,N,Jeff Tucker (minors),RHP,,,,,,,,,,,,,JC,Allen County Community College (Iola KS)
1990,26,,696,FrRnd,8,Indians,Y,Scott Morgan (minors),RHP,,,,,,,,,,,,,4Yr,Middle Tennessee State University (Murfreesboro TN)
1990,26,,697,FrRnd,9,Dodgers,Y,Gordie Tipton (minors),RHP,,,,,,,,,,,,,4Yr,Oklahoma State University (Stillwater OK)
1990,26,,699,FrRnd,11,Expos,Y,Ranbir Grewal (minors),RHP,,,,,,,,,,,,,4Yr,California State University Fresno (Fresno CA)
1990,26,,700,FrRnd,12,Twins,N,Robby Welles (minors),RHP,,,,,,,,,,,,,HS,Beverly Hills HS (Beverly Hills CA)
1990,26,,701,FrRnd,13,Cardinals,N,Joe Wise (minors),RHP,,,,,,,,,,,,,4Yr,Georgia Institute of Technology (Atlanta GA)
1990,26,,702,FrRnd,14,Brewers,N,Brendt Newbill (minors),LHP,,,,,,,,,,,,,HS,McNary HS (Salem OR)
1990,26,,703,FrRnd,15,Astros,N,Jim Dougherty (minors),RHP,-1.2,79,8,0,0.125,0.347,79,8,8,5.99,1.65,0,4Yr,University of North Carolina at Chapel Hill (Chapel Hill NC)
1990,26,,704,FrRnd,16,Rangers,Y,Johnny Johnson (minors),RHP,,,,,,,,,,,,,4Yr,Birmingham-Southern College (Birmingham AL)
1990,26,,705,FrRnd,17,Mets,Y,Robert Carpenter (minors),RHP,,,,,,,,,,,,,4Yr,University of New Hampshire (Durham NH)
1990,26,,707,FrRnd,19,Padres,Y,Bruce Bensching (minors),RHP,,,,,,,,,,,,,4Yr,Lewis-Clark State College (Lewiston ID)
1990,26,,708,FrRnd,20,Orioles,Y,Dave Paveloff (minors),RHP,,,,,,,,,,,,,4Yr,Chapman University (Orange CA)
1990,26,,710,FrRnd,22,Blue Jays,Y,Dave Marcon (minors),LHP,,,,,,,,,,,,,4Yr,Oral Roberts University (Tulsa OK)
1990,26,,712,FrRnd,24,Angels,Y,Britt Craven (minors),RHP,,,,,,,,,,,,,4Yr,Pepperdine University (Malibu CA)
1990,26,,713,FrRnd,25,Royals,Y,Alan Budnick (minors),RHP,,,,,,,,,,,,,4Yr,University of Detroit Mercy (Detroit MI)
1990,26,,714,FrRnd,26,Athletics,N,Shawn Purdy (minors),RHP,,,,,,,,,,,,,4Yr,University of Miami (Coral Gables FL)
1990,27,,715,FrRnd,1,Braves,Y,Larry Owens (minors),LHP,,,,,,,,,,,,,4Yr,Armstrong State University (Savannah GA)
1990,27,,721,FrRnd,7,Reds,N,Scott Connor (minors),RHP,,,,,,,,,,,,,HS,Gateway HS (Aurora CO)
1990,27,,722,FrRnd,8,Indians,N,Oscar Resendez (minors),RHP,,,,,,,,,,,,,,
1990,27,,723,FrRnd,9,Dodgers,Y,Jody Treadwell (minors),RHP,,,,,,,,,,,,,4Yr,Jacksonville University (Jacksonville FL)
1990,27,,724,FrRnd,10,Yankees,N,Jim Musselwhite (minors),RHP,,,,,,,,,,,,,HS,Apopka HS (Apopka FL)
1990,27,,725,FrRnd,11,Expos,Y,Darrin Kotch (minors),LHP,,,,,,,,,,,,,4Yr,Rutgers the State University of New Jersey (New Brunswick NJ)
1990,27,,726,FrRnd,12,Twins,Y,Dicky Dixon (minors),LHP,,,,,,,,,,,,,4Yr,University of Mississippi (Oxford MS)
1990,27,,730,FrRnd,16,Rangers,Y,Troy Rhoades (minors),RHP,,,,,,,,,,,,,HS,Greenwood HS (Greenwood AR)
1990,27,,732,FrRnd,18,Red Sox,Y,Chris Davis (minors),RHP,,,,,,,,,,,,,JC,College of the Sequoias (Visalia CA)
1990,27,,736,FrRnd,22,Blue Jays,Y,Tom Hotchkiss (minors),RHP,,,,,,,,,,,,,4Yr,Santa Clara University (Santa Clara CA)
1990,27,,739,FrRnd,25,Royals,Y,Rafael Gutierrez (minors),RHP,,,,,,,,,,,,,JC,East Los Angeles College (Monterey Park CA)
1990,28,,743,FrRnd,3,Phillies,N,Mark Graham (minors),LHP,,,,,,,,,,,,,JC,Santa Monica College (Santa Monica CA)
1990,28,,745,FrRnd,5,Pirates,Y,David Tellers (minors),RHP,,,,,,,,,,,,,4Yr,San Jose State University (San Jose CA)
1990,28,,748,FrRnd,8,Indians,N,Bart Peterson (minors),RHP,,,,,,,,,,,,,4Yr,Brigham Young University (Provo UT)
1990,28,,751,FrRnd,11,Expos,Y,Billy Brewer (minors),LHP,2,203,1,0,0,0,203,11,11,4.79,1.48,5,4Yr,Dallas Baptist University (Dallas TX)
1990,28,,755,FrRnd,15,Astros,Y,Douglas Ketchen (minors),RHP,,,,,,,,,,,,,4Yr,California State University Fullerton (Fullerton CA)
1990,28,,760,FrRnd,20,Orioles,N,Dom DeSantis (minors),RHP,,,,,,,,,,,,,4Yr,University of New Orleans (New Orleans LA)
1990,28,,761,FrRnd,21,Giants,Y,Rod Huffman (minors),RHP,,,,,,,,,,,,,JC,McLennan Community College (Waco TX)
1990,28,,762,FrRnd,22,Blue Jays,Y,Rob Adkins (minors),RHP,,,,,,,,,,,,,HS,Manatee HS (Bradenton FL)
1990,28,,763,FrRnd,23,Cubs,N,Angel Abreu (minors),RHP,,,,,,,,,,,,,HS,Josefina Barcelo HS (Guaynabo PR)
1990,29,,767,FrRnd,1,Braves,Y,Scott Ryder (minors),RHP,,,,,,,,,,,,,4Yr,Georgia Southern University (Statesboro GA)
1990,29,,769,FrRnd,3,Phillies,Y,Gary Lance (minors),RHP,,,,,,,,,,,,,JC,American River College (Sacramento CA)
1990,29,,770,FrRnd,4,White Sox,N,Bo Magee (minors),LHP,,,,,,,,,,,,,4Yr,Jackson State University (Jackson MS)
1990,29,,772,FrRnd,6,Mariners,Y,Dave McDonald (minors),LHP,,,,,,,,,,,,,4Yr,Brandeis University (Waltham MA)
1990,29,,773,FrRnd,7,Reds,N,Mark Mann (minors),RHP,,,,,,,,,,,,,HS,McNicholas HS (Cincinnati OH)
1990,29,,775,FrRnd,9,Dodgers,Y,Dave Baumann (minors),RHP,,,,,,,,,,,,,4Yr,Western New England College (Springfield MA)
1990,29,,782,FrRnd,16,Rangers,Y,Steve Rambarter (minors),LHP,,,,,,,,,,,,,4Yr,Rice University (Houston TX)
1990,29,,783,FrRnd,17,Mets,N,Will Brunson (minors),LHP,0,27,0,0,,,27,1,1,5.71,1.85,0,JC,Eastfield College (Mesquite TX)
1990,29,,786,FrRnd,20,Orioles,N,Jason Hutchins (minors),RHP,,,,,,,,,,,,,JC,Golden West College (Huntington Beach CA)
1990,29,,787,FrRnd,21,Giants,N,Lou Pote (minors),LHP,3.2,129,0,0,,,129,4,4,3.56,1.31,6,JC,Kishwaukee College (Malta IL)
1990,29,,788,FrRnd,22,Blue Jays,Y,Dale Kistaitis (minors),LHP,,,,,,,,,,,,,4Yr,University of Nebraska at Lincoln (Lincoln NE)
1990,29,,789,FrRnd,23,Cubs,N,Jay Meyer (minors),LHP,,,,,,,,,,,,,JC,Johnson County Community College (Overland Park KS)
