player_id,Year,Age,AgeDif,Tm,Lg,Lev,Aff,W,L,W-L%,ERA,RAvg,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W0,osborn002don,1990,21,,2 Teams,2 Lgs,A-A-,STL,2,4,.333,2.93,4.11,10,10,0,1,0,0,61.1,61,28,20,2,12,1,42,3,5,3,,1.190,9.0,0.3,1.8,6.2,3.50
26,osborn002don,2004,35,7.6,Portland,PCL,AAA,SDP,2,2,.500,8.56,9.22,7,2,2,0,0,0,13.2,26,14,13,4,5,0,12,1,0,1,71,2.268,17.1,2.6,3.3,7.9,2.40
27,osborn002don,2004,35,6.0,NYY,AL,MLB,NYY,2,0,1.000,7.13,8.15,9,2,2,0,0,0,17.2,25,16,14,3,5,0,10,2,0,0,79,1.698,12.7,1.5,2.5,5.1,2.00
28,osborn002don,2005,36,7.1,Long Island,ATLL,Ind,,2,4,.333,1.99,2.27,10,10,0,4,2,0,63.1,65,16,14,2,12,0,49,1,0,1,253,1.216,9.2,0.3,1.7,7.0,4.08
29,osborn002don,2005,36,8.6,Albuquerque,PCL,AAA,FLA,5,3,.625,4.87,5.42,14,14,0,0,0,0,81.1,91,49,44,12,27,1,53,6,0,0,357,1.451,10.1,1.3,3.0,5.9,1.96
30,osborn002don,2006,37,8.0,Bridgeport,ATLL,Ind,,2,1,.667,2.64,3.21,7,7,0,1,0,0,47.2,36,17,14,5,8,0,39,2,0,1,187,0.923,6.8,0.9,1.5,7.4,4.88
31,osborn002don,2006,37,10.1,Omaha,PCL,AAA,KCR,0,6,.000,6.66,7.69,17,4,3,0,0,0,52.2,86,45,39,9,14,1,30,1,0,2,252,1.899,14.7,1.5,2.4,5.1,2.14
32,osborn002don,2007,38,9.3,Long Island,ATLL,Ind,,6,5,.545,5.43,5.69,17,17,0,0,0,0,104.1,128,66,63,10,22,0,49,0,0,2,459,1.438,11.0,0.9,1.9,4.2,2.23
33,osborn002don,2008,39,10.1,Long Island,ATLL,Ind,,0,4,.000,8.14,8.57,5,5,0,0,0,0,21.0,37,20,19,3,4,0,13,1,0,0,100,1.952,15.9,1.3,1.7,5.6,3.25
0,vanpop001tod,1990,18,,2 Teams,2 Lgs,A--A,OAK,3,2,.600,2.15,3.82,8,8,0,0,0,0,37.2,18,16,9,1,19,0,49,3,0,0,,0.982,4.3,0.2,4.5,11.7,2.58
1,vanpop001tod,1990,18,-3.0,Southern Oregon,NORW,A-,OAK,1,1,.500,1.12,1.88,5,5,0,0,0,0,24.0,10,5,3,1,9,0,32,2,0,0,,0.792,3.8,0.4,3.4,12.0,3.56
2,vanpop001tod,1990,18,-3.7,Madison,MIDW,A,OAK,2,1,.667,3.95,7.24,3,3,0,0,0,0,13.2,8,11,6,0,10,0,17,1,0,0,,1.317,5.3,0.0,6.6,11.2,1.70
3,vanpop001tod,1991,19,-4.8,Huntsville,SOUL,AA,OAK,6,13,.316,3.47,4.69,24,24,0,1,1,0,132.1,118,69,51,2,90,0,115,6,1,12,607,1.572,8.0,0.1,6.1,7.8,1.28
4,vanpop001tod,1991,19,-9.5,OAK,AL,MLB,OAK,0,0,,9.64,9.64,1,1,0,0,0,0,4.2,7,5,5,1,2,0,6,0,0,0,21,1.929,13.5,1.9,3.9,11.6,3.00
5,vanpop001tod,1992,20,-6.3,Tacoma,PCL,AAA,OAK,4,2,.667,3.97,4.37,9,9,0,0,0,0,45.1,44,22,20,1,35,0,29,1,1,1,202,1.743,8.7,0.2,6.9,5.8,0.83
6,vanpop001tod,1993,21,-5.0,Tacoma,PCL,AAA,OAK,4,8,.333,5.83,6.06,16,16,0,0,0,0,78.2,67,53,51,5,54,0,71,4,0,2,355,1.538,7.7,0.6,6.2,8.1,1.31
7,vanpop001tod,1993,21,-7.7,OAK,AL,MLB,OAK,6,6,.500,5.04,5.36,16,16,0,0,0,0,84.0,76,50,47,10,62,0,47,2,0,3,380,1.643,8.1,1.1,6.6,5.0,0.76
8,vanpop001tod,1994,22,-7.1,OAK,AL,MLB,OAK,7,10,.412,6.09,6.17,23,23,0,0,0,0,116.2,108,80,79,20,89,2,83,3,1,3,532,1.689,8.3,1.5,6.9,6.4,0.93
9,vanpop001tod,1995,23,-5.8,OAK,AL,MLB,OAK,4,8,.333,4.88,5.01,36,14,10,1,0,0,138.1,125,77,75,16,56,1,122,4,0,4,582,1.308,8.1,1.0,3.6,7.9,2.18
10,vanpop001tod,1996,24,-4.3,2 Teams,AL,MLB,OAK-DET,3,9,.250,9.06,9.69,37,15,8,1,1,1,99.1,139,107,100,24,62,3,53,3,0,7,491,2.023,12.6,2.2,5.6,4.8,0.85
11,vanpop001tod,1996,24,-4.3,OAK,AL,MLB,OAK,1,5,.167,7.71,8.00,28,6,8,0,0,1,63.0,86,56,54,13,33,3,37,2,0,4,301,1.889,12.3,1.9,4.7,5.3,1.12
12,vanpop001tod,1996,24,-4.3,DET,AL,MLB,DET,2,4,.333,11.39,12.63,9,9,0,1,1,0,36.1,53,51,46,11,29,0,16,1,0,3,190,2.257,13.1,2.7,7.2,4.0,0.55
13,vanpop001tod,1997,25,0.5,3 Teams,3 Lgs,AA-AAA-A+,KCR-TEX,4,12,.250,5.70,6.40,24,19,1,2,0,0,115.1,139,82,73,15,49,0,86,5,1,6,537,1.630,10.8,1.2,3.8,6.7,1.76
14,vanpop001tod,1997,25,2.5,Port Charlotte,FLOR,A+,TEX,0,4,.000,4.04,4.79,6,6,0,2,0,0,35.2,36,19,16,3,10,0,33,1,0,2,152,1.290,9.1,0.8,2.5,8.3,3.30
15,vanpop001tod,1997,25,0.9,Tulsa,TL,AA,TEX,3,3,.500,5.06,5.70,7,7,0,0,0,0,42.2,53,27,24,2,15,0,26,1,1,2,197,1.594,11.2,0.4,3.2,5.5,1.73
16,vanpop001tod,1997,25,-1.6,Omaha,AA,AAA,KCR,1,5,.167,8.03,8.76,11,6,1,0,0,0,37.0,50,36,33,10,24,0,27,3,0,2,188,2.000,12.2,2.4,5.8,6.6,1.13
17,vanpop001tod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
